Dataset,Model,MAE_3,RMSE_3,MAPE_3,MAE_6,RMSE_6,MAPE_6,MAE_12,RMSE_12,MAPE_12,MAE_all,RMSE_all,MAPE_all
PEMS04,GCLSTM,20.2583,31.6423,0.1370,22.4171,34.5961,0.1525,26.9476,40.4385,0.1894,22.7084,35.0729,0.1557
PEMS04,GCGRU,20.2227,31.6226,0.1356,22.4053,34.6295,0.1515,27.0435,40.7377,0.1895,22.7062,35.1516,0.1549
PEMS04,STGCN,19.1440,30.3834,0.1285,20.1467,32.0257,0.1337,22.1221,34.8194,0.1460,20.2238,32.1143,0.1346
PEMS04,DCRNN,18.8563,29.7953,0.1299,20.4350,31.9789,0.1433,23.2998,35.7452,0.1710,20.5410,32.1659,0.1453
PEMS04,AGCRN,18.5546,29.6873,0.1240,19.4595,31.2545,0.1298,20.9510,33.4042,0.1382,19.4553,31.2055,0.1295
PEMS04,GWNET,18.0533,29.0168,0.1212,19.1006,30.6484,0.1281,20.8447,33.0579,0.1423,19.1194,30.6471,0.1288
PEMS04,MTGNN,18.0027,29.4208,0.1200,18.9524,31.4554,0.1259,20.5320,34.1904,0.1372,18.9351,31.4087,0.1261
PEMS04,StemGNN,19.2548,30.5206,0.1277,21.2943,33.3629,0.1414,24.9225,38.2916,0.1676,21.4422,33.6704,0.1431
PEMS04,STNorm,18.1171,29.3179,0.1191,18.9381,30.9878,0.1232,20.0941,32.7003,0.1308,18.8597,30.7432,0.1233
PEMS04,GTS,19.2748,30.5065,0.1335,20.9797,32.9540,0.1490,23.8622,36.8322,0.1743,21.0528,33.1028,0.1496
PEMS04,STID,17.5960,28.5927,0.1245,18.4040,29.9777,0.1293,19.6985,31.9131,0.1419,18.3943,29.9368,0.1300
PEMS04,STWA,18.4709,29.4655,0.1255,19.3632,30.8699,0.1307,20.9081,32.9559,0.1390,19.3847,30.8405,0.1301
PEMS04,MegaCRN,17.6750,28.6730,0.1211,18.7528,30.5738,0.1276,20.2721,33.1257,0.1369,18.6918,30.5380,0.1271
PEMS04,STAEformer,17.4236,28.6654,0.1161,18.1614,30.0633,0.1201,19.2425,31.8990,0.1269,18.1390,30.0015,0.1202
PEMS07,HistoricalInertia,49.2720,71.3238,0.2273,49.2841,71.3363,0.2275,49.3146,71.3698,0.2279,49.2884,71.3409,0.2275
PEMS07,MLP,23.1914,35.8093,0.0990,27.9649,42.5885,0.1210,38.4740,56.2965,0.1744,28.8271,44.1885,0.1262
PEMS07,LSTM,22.1620,35.2072,0.0942,26.2884,41.5221,0.1134,35.3533,54.3063,0.1592,26.9949,42.9740,0.1176
