Dataset,Model,Step,MAE,RMSE,MAPE
PEMSBAY,GTS,0,1.6366,3.7151,0.0368

PEMSBAY,STID,3,1.3098,2.7797,0.0275
PEMSBAY,STID,6,1.6290,3.7163,0.0366
PEMSBAY,STID,12,1.9092,4.4135,0.0444
PEMSBAY,STID,0,1.5637,3.6093,0.0349

PEMSBAY,STWA,3,1.3811,2.9036,0.0295
PEMSBAY,STWA,6,1.7214,3.8973,0.0389
PEMSBAY,STWA,12,2.0088,4.5698,0.0470
PEMSBAY,STWA,0,1.6520,3.7644,0.0372

PEMSBAY,MegaCRN,3,1.2844,2.7125,0.0267
PEMSBAY,MegaCRN,6,1.6033,3.6838,0.0359
PEMSBAY,MegaCRN,12,1.8904,4.4537,0.0448
PEMSBAY,MegaCRN,0,1.5436,3.6025,0.0346

PEMSBAY,STAEformer,3,1.3001,2.7799,0.0273
PEMSBAY,STAEformer,6,1.5978,3.6641,0.0357
PEMSBAY,STAEformer,12,1.8546,4.3119,0.0433
PEMSBAY,STAEformer,0,1.5339,3.5503,0.0342

PEMS03,HistoricalInertia,3,32.6258,49.9050,0.3058
PEMS03,HistoricalInertia,6,32.6194,49.8932,0.3059
PEMS03,HistoricalInertia,12,32.6100,49.8756,0.3063
PEMS03,HistoricalInertia,0,32.6190,49.8923,0.3060

PEMS03,MLP,3,16.1267,24.8450,0.1581
PEMS03,MLP,6,19.4633,30.1648,0.1881
PEMS03,MLP,12,26.6152,40.6763,0.2620
PEMS03,MLP,0,20.0423,31.4582,0.1961

PEMS03,LSTM,3,16.0570,26.2803,0.1519
PEMS03,LSTM,6,19.2709,31.5788,0.1814
PEMS03,LSTM,12,26.1745,41.7176,0.2538
PEMS03,LSTM,0,19.8302,32.7567,0.1888

PEMS03,GRU,3,16.0563,26.8764,0.1521
PEMS03,GRU,6,19.2407,31.6154,0.1812
PEMS03,GRU,12,26.0949,41.2600,0.2527
PEMS03,GRU,0,19.7957,32.7538,0.1884

PEMS03,WaveNet,3,16.1936,27.2540,0.1540
PEMS03,WaveNet,6,19.4446,32.1835,0.1869
PEMS03,WaveNet,12,26.4715,42.0303,0.2621
PEMS03,WaveNet,0,20.0064,33.1769,0.1936

PEMS03,Transformer,3,15.1773,27.0303,0.1423
PEMS03,Transformer,6,17.1270,29.8129,0.1584
PEMS03,Transformer,12,20.6948,34.7629,0.1896
PEMS03,Transformer,0,17.2455,30.0797,0.1599

PEMS03,Transformer,3,14.7610,25.5313,0.1402
PEMS03,Transformer,6,16.4784,28.0835,0.1547
PEMS03,Transformer,12,19.4529,32.3457,0.1804
PEMS03,Transformer,0,16.5918,28.3027,0.1561

PEMS03,GCLSTM,3,15.2594,24.7163,0.1481
PEMS03,GCLSTM,6,17.0395,27.6804,0.1631
PEMS03,GCLSTM,12,20.7223,33.1141,0.1967
PEMS03,GCLSTM,0,17.2373,28.0473,0.1658

